publication_number,title,application_number,embedding,abstract,year,domain
US-4082258-A,Drive speed control apparatus for cloth spreading machine,US-75417276-A,"[-0.0619116872549057, -0.044149890542030334, 0.011310995556414127, 0.055381160229444504, -0.041072893887758255, 0.01920049637556076, -0.02413146011531353, 0.013241948559880257, -0.12394341081380844, 0.01561237033456564, 0.11715316027402878, -0.06435082107782364, 0.0008319237967953086, 0.022991908714175224, 0.008470006287097931, -0.019232485443353653, -0.06220855563879013, -0.037336889654397964, -0.07068045437335968, 0.006091373041272163, -0.04768604040145874, 0.036120593547821045, 0.06866706907749176, 0.03830041363835335, -0.0509757362306118, 0.029256371781229973, 0.010451707057654858, -0.027956005185842514, 0.07450918853282928, 0.02390431798994541, 0.01293189637362957, 0.04178183525800705, -0.012119422666728497, 0.07256060838699341, -0.05036792531609535, 0.05566670745611191, 0.0769876167178154, 0.0014044586569070816, 0.039316870272159576, 0.03147199749946594, -0.0010490845888853073, -0.041939444839954376, 0.042278558015823364, 0.0063736517913639545, 0.04234921932220459, 0.05316577106714249, 0.020768502727150917, 0.09324214607477188, -0.11759817600250244, -0.06449893116950989, -0.06499768793582916, -0.042019281536340714, 0.09008913487195969, 0.0048334626480937, -0.043435320258140564, -0.046371497213840485, 0.0659482330083847, 0.07942074537277222, 0.012242677621543407, 0.0200657919049263, 0.0046008615754544735, -0.060731902718544006, -0.0818689614534378, 0.03400895744562149, 0.0097603565081954, -0.048034779727458954, 0.020526094362139702, 0.08609151095151901, -0.08686317503452301, 0.06842155009508133, -0.03745436295866966, 0.002918533282354474, -0.07576926052570343, 0.07275581359863281, -0.019384397193789482, -0.12074882537126541, 0.003739281091839075, 0.031070509925484657, -0.0033447330351918936, -0.050977110862731934, -0.00039177577127702534, -0.04342568293213844, 0.002615787787362933, 0.017130475491285324, -0.03669704869389534, -0.06329897791147232, -0.07568170130252838, -0.016986744478344917, 0.010930260643362999, -0.04433365911245346, 0.03680577874183655, -0.08227790147066116, -0.029169630259275436, -0.06315790116786957, -0.04780144616961479, 0.03508396074175835, -0.04029741883277893, -0.009066350758075714, 0.022086767479777336, 0.056014709174633026, -0.033629368990659714, -0.0050073848105967045, -0.012951802462339401, -3.349765029270202e-05, 0.019896885380148888, -0.0257498100399971, 0.008319903165102005, 0.05547455698251724, 0.05526357144117355, 0.03380303829908371, 0.011827250942587852, 0.02846960723400116, -0.09755716472864151, -0.060673587024211884, -0.026150433346629143, -0.10528834164142609, 0.07337676733732224, 0.03516348823904991, 0.09698179364204407, -0.0320437066257, 0.015968497842550278, 0.013406068086624146, -0.0058638653717935085, -0.004378412384539843, 0.06947270780801773, -0.02312721125781536, -0.03883330896496773, 9.977391256623144e-34, 0.007368860300630331, -0.08158355951309204, -0.03055695630609989, 0.026235060766339302, 0.03895096108317375, -0.030696360394358635, -0.03069966845214367, 0.05860663950443268, -0.05160871520638466, 0.036260347813367844, -0.005622568540275097, 0.08276257663965225, -0.011781852692365646, 0.046024829149246216, 0.07562637329101562, -0.10614316165447235, 0.04443863034248352, -0.029053661972284317, 0.07976362854242325, -0.08958122134208679, 0.033997032791376114, 0.04850374907255173, 0.08346404135227203, -0.040688298642635345, -0.00590732553973794, 0.038493864238262177, 0.008167059160768986, -0.0056450036354362965, 0.06946201622486115, 0.045502882450819016, 0.03140156716108322, -0.015372030436992645, -0.0820186585187912, 0.007398461457341909, -0.029029030352830887, 0.022584756836295128, -0.12339118123054504, -0.09958337247371674, 0.09909326583147049, 0.06582292914390564, -0.05051098018884659, -0.08311620354652405, -0.042357154190540314, -0.023186570033431053, -0.025349386036396027, 0.013978983275592327, 0.04323958232998848, 0.05654515326023102, 0.03429859131574631, 0.01009755115956068, -0.007989736273884773, 0.05193034186959267, -0.03288254141807556, -0.10451091080904007, -0.021671757102012634, -0.02283521182835102, 0.02744978480041027, 0.013892611488699913, -0.02463707886636257, 0.04997601732611656, 0.06279797106981277, 0.0180059801787138, -0.05994803085923195, 0.03482188656926155, 0.08282743394374847, -0.028659934177994728, 0.013088656589388847, -0.0036539011634886265, 0.00559240160509944, 0.0014748716494068503, -0.06151323765516281, 0.07322174310684204, -0.10135000944137573, 0.023152103647589684, 0.014535694383084774, -0.021437885239720345, -0.049003295600414276, 0.006995796225965023, 0.017034200951457024, -0.025760328397154808, -0.1253616064786911, -0.03341830521821976, -0.03807763382792473, -0.10906016826629639, 0.024993838742375374, -0.024951472878456116, -0.004504047334194183, 0.02387300692498684, -0.035559769719839096, -0.11182285845279694, 0.06470422446727753, -0.04134410247206688, 0.0014246064238250256, 0.09649765491485596, 0.046686287969350815, -3.085576427308531e-33, -0.04468640685081482, -0.010850372724235058, -0.01480349525809288, 0.1222391128540039, 0.060808513313531876, 0.048670995980501175, 0.06583462655544281, 0.025654859840869904, -0.0951533243060112, 0.010926470160484314, -0.03679775446653366, 0.0669001042842865, 0.009716353379189968, -0.008736172690987587, -0.02571365423500538, 0.04400042071938515, 0.08322951942682266, -0.05519840121269226, 0.021697718650102615, -0.024391548708081245, 0.05510115623474121, 0.017522361129522324, 0.07279299199581146, -0.04037633165717125, -0.028413204476237297, -0.03483037278056145, -0.034063950181007385, 0.030277449637651443, 0.0319397896528244, 0.016221273690462112, 0.010172810405492783, -0.04685129225254059, 0.04695374518632889, -0.0555233508348465, 0.000647663720883429, 0.03306648135185242, -0.0005166569026187062, 0.060018979012966156, -0.0056001003831624985, 0.08367159962654114, -0.021315287798643112, -0.050840627402067184, -0.05306963250041008, 0.023785749450325966, -0.01551614236086607, -0.01588919758796692, -0.1014159768819809, -0.012177354656159878, -0.07233557105064392, 0.0426202118396759, 0.02660343609750271, 0.08140542358160019, -0.0005387749406509101, -0.0010897425236180425, -0.04040246829390526, 0.0624413788318634, -0.07404758036136627, -0.03711812198162079, -0.038651324808597565, -0.0020909069571644068, -0.053730349987745285, -0.061444442719221115, -0.01844865269958973, 0.07562365382909775, 0.05945131182670593, -0.020636441186070442, -0.06423519551753998, -0.07814004272222519, 0.009329808875918388, 0.04879479110240936, -0.05162617564201355, -0.019588299095630646, -0.009497670456767082, -0.03941386938095093, -0.07867758721113205, -0.04919598996639252, 0.05446409061551094, -0.052011411637067795, -0.016668027266860008, 0.07937010377645493, -0.013424716889858246, -0.009422369301319122, 0.060676153749227524, -0.005979028530418873, -0.05352431535720825, -0.02252827398478985, -0.003126320196315646, 0.0014795651659369469, 0.06685429811477661, 0.06923453509807587, -0.02077680081129074, -0.011824025772511959, 0.024716416373848915, 0.04855135455727577, -0.017542047426104546, -3.520440827742277e-08, -0.024788107722997665, -0.10710687190294266, 0.04193415865302086, -0.014193834736943245, 0.13247959315776825, -0.0018024190794676542, -0.011191274970769882, 0.021385330706834793, -0.13522203266620636, 0.038476500660181046, -0.012690170668065548, 0.12286221235990524, 0.04067301005125046, 0.06334113329648972, -0.017970716580748558, 0.015402693301439285, 0.05535265803337097, -0.0037122268695384264, -0.02355179190635681, -0.004166833590716124, 0.07183967530727386, -0.050250113010406494, 0.050719451159238815, 0.05436205118894577, 0.026669295504689217, 0.0008348304545506835, -0.14754092693328857, 0.019145287573337555, 0.01965981163084507, 0.011543859727680683, -0.03302805870771408, 0.05895836651325226, -0.05733729526400566, 0.011737664230167866, -0.10023696720600128, 0.031707510352134705, -0.02423950843513012, -0.0007472929428331554, -0.04663366824388504, 0.025217143818736076, 0.07483915239572525, 0.008984549902379513, -0.007773296441882849, 0.09930013865232468, 0.09420845657587051, -0.056278474628925323, 0.026317652314901352, -0.017849793657660484, -0.0006000629509799182, -0.0036093376111239195, 0.03014807589352131, 0.019120879471302032, 0.00340645806863904, 0.0896180123090744, 0.05408031865954399, -0.05144251137971878, 0.0005247303051874042, 0.02622726932168007, 0.01710306853055954, 0.05023040249943733, -0.024105774238705635, 0.03685057908296585, 0.038433268666267395, -0.011249620467424393]","A motor-driven cloth spreading machine having a speed control apparatus manually operated by a rotary elongated control shaft having radial handle means for rotating the control shaft. 
     The speed control apparatus may also include a trip lever operatively connected to the control shaft and adapted to counter-rotate the control shaft to reduce the speed of the machine when the trip lever engages a tripping device at a predetermined station in the path of the spreading machine.",Unknown,Automotive
US-5406137-A,Circuit arrangement for evaluating the signal of a capacitive measuring sensor,US-9979293-A,"[-0.0874757468700409, 0.034431587904691696, 0.0902545377612114, 0.011026661843061447, 0.039255671203136444, -0.03550107404589653, 0.13800346851348877, -0.01305171474814415, 0.01863967627286911, -0.030873600393533707, 0.06332968175411224, -0.10460289567708969, 0.04825523495674133, 0.015625527128577232, -0.049313709139823914, -0.04457671195268631, -0.10244667530059814, 0.06012110039591789, -0.0009119799942709506, 0.013136401772499084, -0.05099022760987282, -0.03681601956486702, 0.0602714829146862, 0.05146888643503189, -0.0441674180328846, -0.022757498547434807, -0.015284772031009197, -0.010449596680700779, -0.027499794960021973, -0.04355914518237114, 0.025070883333683014, -0.0037699833046644926, 0.05290473997592926, 0.0171880554407835, -0.06126631796360016, 0.0016819298034533858, 0.03692417964339256, 0.0502765066921711, -0.03649115189909935, 0.05981985107064247, -0.011244094930589199, -0.02214803732931614, 0.015657108277082443, 0.0010534337488934398, 0.04911554604768753, -0.018407372757792473, 0.030781518667936325, -0.00679088244214654, -0.07223375141620636, -0.012490455061197281, -0.0795794427394867, -0.024597102776169777, 0.04678129032254219, 0.015703100711107254, -0.03686961904168129, 0.024814730510115623, -0.048089802265167236, 0.003101611277088523, -0.002135808812454343, -0.06464262306690216, -0.008718390949070454, -0.04814853146672249, -0.057930637151002884, 0.01059023104608059, 0.11982734501361847, -0.0034397109411656857, -0.040626611560583115, 0.03782380372285843, 0.002038567792624235, -0.009701093658804893, -0.009675152599811554, 0.010656601749360561, -0.07546772807836533, -0.005290179513394833, 0.015221862122416496, -0.029114751145243645, -0.10776713490486145, 0.09621386229991913, 0.03839816898107529, 0.014410518109798431, 0.14669397473335266, -0.09712564945220947, -0.06362580507993698, -0.03040585108101368, -0.009523261338472366, -0.03902160003781319, -0.020418699830770493, -0.04963164031505585, 0.08280733227729797, -0.07073166221380234, -0.005506982561200857, -0.06779064983129501, -0.03632844612002373, 0.05164003372192383, -0.11105253547430038, -0.020578159019351006, 0.04901280626654625, 0.045255549252033234, 0.06415209174156189, 0.11492554843425751, -0.006940771359950304, -0.09170962125062943, -0.016549251973628998, 0.0023157745599746704, 0.028807764872908592, -0.02652657963335514, -0.05937504768371582, -0.020551959052681923, 0.014740419574081898, 0.010716241784393787, -0.07394972443580627, -0.01406770572066307, -0.10533344000577927, 0.002467477461323142, 0.05093500763177872, -0.05128820985555649, 0.0338718555867672, 0.028213586658239365, 0.08945945650339127, -0.10409700870513916, -0.02199396677315235, -0.05829291790723801, -0.09630484879016876, -0.06355515122413635, 0.032411277294158936, 0.03609052672982216, 0.01535644382238388, 9.563509797603194e-34, 0.04144101217389107, -0.01438135001808405, -0.003874747082591057, -0.027150921523571014, 0.014697061851620674, -0.06155730411410332, -0.00335793849080801, -0.007583733648061752, -0.03321800008416176, 0.014702215790748596, -0.004067116882652044, 0.07663796842098236, -0.01561268512159586, 0.1022576242685318, 0.03799629956483841, -0.06880038231611252, -0.05872634798288345, 0.0576387457549572, 0.15475130081176758, -0.05756623297929764, -0.012273741886019707, 0.060779672116041183, -0.023252863436937332, 0.037929944694042206, 0.022323602810502052, 0.04208049550652504, 0.04315778985619545, 0.0453152135014534, 0.006581128109246492, -0.008869055658578873, 0.030477216467261314, 0.06335490196943283, 0.03720077499747276, -0.07978395372629166, 0.047721605747938156, 0.043203409761190414, -0.039430711418390274, 0.023291615769267082, 0.05645577237010002, -0.0020032115280628204, -0.05516931414604187, 0.015795214101672173, 0.052539754658937454, -0.07431364804506302, 0.0013256376842036843, -0.05559593811631203, -0.012525622732937336, 0.019129781052470207, 0.0007807272486388683, -0.04123590886592865, -0.06460922956466675, -0.0010334579274058342, -0.016917940229177475, -0.04772356152534485, 0.027802349999547005, 0.037067681550979614, -0.020561162382364273, 0.03117922879755497, 0.03418564796447754, 0.027675706893205643, 0.02132256329059601, -0.01730232872068882, -0.04231542721390724, -0.09567218273878098, 0.012555025517940521, 0.10886829346418381, -0.00048628138029016554, 0.009198970161378384, 0.10920919477939606, 0.054921604692935944, -0.033450718969106674, -0.03858904540538788, -0.08806176483631134, -0.051653891801834106, -0.014514117501676083, 0.034633293747901917, -0.051495276391506195, -0.0276618804782629, -0.030740857124328613, 0.011619104072451591, -0.06703981012105942, -0.04127228260040283, 0.013826229609549046, -0.0061391545459628105, -0.0007302893209271133, -0.025827644392848015, -0.006952977739274502, -0.020336713641881943, -0.06450137495994568, 0.021484019234776497, 0.010482673533260822, 0.13814811408519745, 0.02356213517487049, 0.014160947874188423, 0.0651211068034172, -2.2849690818115567e-33, 0.047428980469703674, -0.001517029362730682, -0.10221507400274277, 0.09968272596597672, 0.03842586278915405, 0.07748696208000183, -0.0023694648407399654, 0.053731922060251236, -0.10012567043304443, -0.01570388488471508, -0.08918053656816483, 0.02104397863149643, -0.0043684919364750385, 0.029837941750884056, -0.07798457145690918, 0.07723256200551987, 0.0893019437789917, -0.014714686200022697, -0.08192487061023712, 0.0192171148955822, 0.04650639742612839, 0.04673562943935394, -0.003976542968302965, -0.04453293979167938, -0.0171587485820055, 0.0011865488486364484, -0.039938636124134064, 0.04937212914228439, -0.045549508184194565, -0.020121479406952858, -0.01970439963042736, -0.04240092262625694, 0.05630960315465927, -0.03240242600440979, -0.02781611867249012, 0.004755672533065081, 0.05574841797351837, -0.012124675326049328, -0.008134007453918457, 0.10167092084884644, 0.0173097625374794, -0.01720353588461876, 0.054463669657707214, 0.0004897346370853484, 0.010242653079330921, 0.05126505717635155, 0.0036169057711958885, -0.0007146793068386614, -0.05057214945554733, 0.02170078456401825, 0.007072616834193468, -0.020026296377182007, -0.02140800841152668, 0.023993825539946556, 0.01611156016588211, 0.0024144386406987906, 0.02694365754723549, -0.10532710701227188, -0.006071364041417837, 0.0596916601061821, -0.001282564364373684, -0.059576038271188736, -0.03492860868573189, 0.04964771866798401, 0.029937684535980225, -0.016059568151831627, -0.009372303262352943, -0.09436997771263123, -0.03334593027830124, 0.015096558257937431, 0.12006047368049622, -0.02270139567553997, -0.007295751478523016, -0.12796911597251892, -0.09130769222974777, 0.048112716525793076, -0.0649629682302475, 0.011714024469256401, -0.07338964939117432, -0.00175600650254637, -0.050636205822229385, -0.10213560611009598, 0.04123378545045853, 0.029785269871354103, -0.01784692332148552, -0.029554983600974083, 0.07725555449724197, -0.017818525433540344, 0.05941632017493248, 0.10613511502742767, -0.00633805338293314, 0.07667030394077301, -0.028106801211833954, -0.01630733348429203, 0.034073829650878906, -3.757491739975194e-08, -0.014222611673176289, -0.06302853673696518, -0.047080911695957184, 0.034522756934165955, 0.002879108302295208, 0.005384768825024366, 0.009256469085812569, -0.002830687677487731, -0.0116866584867239, 0.005208806600421667, 0.09177535027265549, 0.07327636331319809, -0.027795756235718727, 0.034798454493284225, 0.04144907370209694, -0.006197725422680378, 0.026158614084124565, 0.11662275344133377, -0.049166664481163025, 0.024387510493397713, 0.07541898638010025, 0.07793982326984406, -0.02897796779870987, 0.01311590988188982, 0.10762830823659897, -0.011646921746432781, -0.038317181169986725, 0.04318520426750183, 0.04892438277602196, -0.02391843870282173, -0.009974346496164799, 0.01780840754508972, 0.056876737624406815, -0.06873802095651627, -0.004039008170366287, 0.022655781358480453, -0.025041237473487854, 0.0020597109105437994, -0.07282904535531998, -0.06654203683137894, -0.048896923661231995, 0.02424216829240322, -0.15119507908821106, 0.023813635110855103, 0.038861606270074844, -0.03201980143785477, 0.08252602815628052, -0.0031806405168026686, -0.06085643917322159, 0.09932152926921844, -0.05989045277237892, 0.014987251721322536, 0.002141372999176383, 0.0460011325776577, 0.04887143895030022, 0.011881351470947266, -0.009394797496497631, -0.03329797834157944, -0.0035588268656283617, -0.009584620594978333, 0.05513904243707657, 0.04778432101011276, -0.023010728880763054, 0.03341180086135864]","A capacitive humidity sensor circuit in which a one-shot circuit produces pulses having a pulse duration determined by the capacitance of a capacitive sensing element, the one-shot circuit being triggered by the trailing edges of pulses in a pulse train produced by a multivibrator. The multivibrator is adjustable to produce a pulse train of variable repetition rate independent of the value of the measured parameter. The pulses produced by the one-shot circuit are integrated to produce a voltage indicative of the time average value of the pulses, the voltage being supplied to an amplification and offset compensation circuit whose output signal is used to adjust the supply voltage to the multivibrator so as to effectively achieve compensation for nonlinear response of the capacitive sensing element to increasing relative humidity.",Unknown,AI / ML
US-5407430-A,Intravenous catheter,US-21530494-A,"[0.010426951572299004, 0.002196311252191663, -0.015130186453461647, -0.009464488364756107, -0.04225698858499527, -0.045544445514678955, 0.0009531776886433363, 0.0971333235502243, -0.021847007796168327, -0.03462405130267143, -0.005384494550526142, -0.007654387969523668, -0.05799655616283417, 0.06915377080440521, -0.0010561777744442225, -0.08450569957494736, -0.06848820298910141, -0.03906230255961418, 0.0005647986545227468, -0.030188295990228653, -0.059212978929281235, 0.07243389636278152, -0.024736633524298668, 0.05595731362700462, -0.009370342828333378, 0.031974464654922485, 0.010764128528535366, -0.046530403196811676, 0.029165761545300484, 0.010519936680793762, -0.033930253237485886, 0.021298151463270187, -0.09416719526052475, -0.06697845458984375, -0.009020722471177578, 0.015088679268956184, 0.03296654298901558, 0.052305668592453, -0.03510689735412598, 0.06291331350803375, 0.03888640180230141, -0.07460695505142212, 0.015546321868896484, -0.05642368271946907, -0.029693104326725006, -0.07928629219532013, 0.007889569737017155, -0.04347418621182442, -0.07298924773931503, 0.0004590863245539367, -0.07718256860971451, -0.02762591280043125, -0.02727968990802765, 0.029028767719864845, -0.057434603571891785, -0.08081749826669693, -0.07106159627437592, -0.043897707015275955, 0.001255527837201953, -0.026386670768260956, -0.020142298191785812, 0.026367932558059692, 0.052975669503211975, 0.08683020621538162, -0.058111272752285004, -0.09078999608755112, 0.08606286346912384, 0.03748989477753639, -0.01970837637782097, 0.02485746704041958, 0.056242685765028, 0.00972934439778328, -0.12043055146932602, -0.0008211964159272611, -0.0052544414065778255, -0.012773658148944378, 0.03450613468885422, 0.041895780712366104, 0.01997292973101139, 0.020502308383584023, 0.012753022834658623, 0.042798709124326706, -0.02349824644625187, -0.00415239529684186, -0.01794893480837345, 0.10022246837615967, -0.039710406213998795, -0.035596687346696854, -0.011776708997786045, 0.032522693276405334, 0.005977310240268707, -0.013519864529371262, -0.009414865635335445, -0.024757839739322662, 0.0038345945067703724, -0.10277282446622849, 0.04401315376162529, -0.03515787422657013, 0.08036282658576965, 0.05958183482289314, 0.030573025345802307, 0.011643802747130394, -0.015550758689641953, 0.030151957646012306, 0.09062675386667252, -0.05824088305234909, 0.01526669505983591, -0.037332795560359955, 0.08096693456172943, -0.009346292354166508, -0.002355235628783703, -0.0471540205180645, 0.023647144436836243, -0.11195293068885803, -0.015029077418148518, 0.058197442442178726, 0.03046065755188465, 0.010506034828722477, 0.07422801107168198, 0.037083085626363754, -0.015690481290221214, 0.025567257776856422, -0.09204881638288498, -0.02799900807440281, 0.06235905736684799, 0.008513066917657852, -0.007808029651641846, -1.7303495412584928e-33, -0.0177583210170269, -0.06044080853462219, 0.0025623785331845284, 0.11188069730997086, 0.015920156612992287, 0.05726350098848343, -0.02082330547273159, 0.006463275756686926, -0.07144945859909058, -0.05763030797243118, -0.097768135368824, 0.12963272631168365, -0.009789294563233852, 0.022944603115320206, 0.07486722618341446, -0.08272237330675125, -0.04289417341351509, 0.08025290817022324, 0.050384048372507095, 0.021386874839663506, 0.01825070194900036, -0.002233072416856885, 0.00013530503201764077, 0.046632155776023865, -0.010380311869084835, 0.03318093717098236, -0.004258484113961458, 0.03399134427309036, -0.01010273490101099, 0.01447317749261856, 0.005460931919515133, -0.09209781885147095, -0.024767296388745308, -0.032052718102931976, -0.0442032590508461, -0.016033099964261055, -0.011457420885562897, -0.02037213370203972, 0.03711665794253349, 0.08876318484544754, -0.010290254838764668, 0.04734782874584198, -0.005038756411522627, 0.006712105590850115, -0.02679958939552307, 0.045126672834157944, 0.021618762984871864, 0.03662540763616562, -0.0372147299349308, -0.07261934131383896, 0.03924329951405525, 0.08356738835573196, -0.008100275881588459, -0.04543353244662285, 0.013229124248027802, 0.08049673587083817, -0.07558322697877884, 0.058293282985687256, 0.05093344673514366, 0.03209000453352928, -0.017024273052811623, 0.0438794307410717, -0.016643406823277473, 0.06636246293783188, 0.032117538154125214, -0.0038724462501704693, 0.07040555775165558, -0.038017697632312775, 0.10179277509450912, -0.08961819857358932, -0.12100137770175934, 0.046723220497369766, 0.02768883667886257, -0.04237294942140579, 0.011743832379579544, -0.01217502448707819, -0.003755477024242282, -0.06801794469356537, 0.035331979393959045, -0.11801916360855103, -0.06920129060745239, -0.027922995388507843, 0.06007009744644165, 0.05143234506249428, -0.02463153563439846, -0.03852240741252899, 0.04150858148932457, -0.02861838787794113, -0.09369947761297226, -0.07569137215614319, -0.06105915457010269, 0.023605555295944214, 0.019729429855942726, -0.07425041496753693, 0.12753233313560486, -1.531011964310934e-33, 0.07729846984148026, -0.05480021610856056, 0.011608627624809742, -0.047453660517930984, 0.04822133854031563, 0.0180806964635849, 0.1092815175652504, 0.0424547903239727, -0.01338148396462202, -0.043262626975774765, -0.061725981533527374, 0.11193273216485977, 0.11638449877500534, 0.015859680250287056, -0.10339584946632385, -0.03036590851843357, -0.025226883590221405, -0.014779141172766685, 0.04284759983420372, -0.014612997882068157, 0.037097737193107605, -0.021823639050126076, 0.039108868688344955, -0.041741933673620224, 0.08917703479528427, 0.008734175004065037, -0.13244891166687012, -0.00394434342160821, -0.0321451798081398, -0.07409325987100601, 0.025708841159939766, -0.07971332222223282, 0.006210705265402794, -0.023159969598054886, -0.008367703296244144, 0.04282991588115692, 0.0704849362373352, 0.005289540626108646, 0.024566521868109703, 0.044578202068805695, -0.020809590816497803, 0.02988934889435768, -0.015847323462367058, -0.0006041424348950386, -0.045232340693473816, 0.0328223891556263, -0.0027120804879814386, 0.016417065635323524, -0.02131446823477745, 0.013602295890450478, -0.08688169717788696, 0.02772090584039688, -0.008790587075054646, 0.06584413349628448, 0.025980187579989433, -0.04310929402709007, 0.056197572499513626, -0.05215008929371834, 0.007349139079451561, 0.027412494644522667, -0.06360657513141632, -0.022060925140976906, -0.027880771085619926, 0.03526289761066437, 0.011958238668739796, -0.007199500221759081, 0.004467478021979332, -0.11729203164577484, -0.012261034920811653, -0.07292824238538742, 0.07334113121032715, -0.08815956860780716, -0.01601118966937065, 0.0069313328713178635, 0.1166611984372139, -0.044638775289058685, 0.03863197937607765, -0.1092512458562851, -0.03755486384034157, -0.01573447324335575, -0.0040285964496433735, -0.08547564595937729, 0.056044142693281174, -0.010549128986895084, 0.07268892973661423, -0.05785740911960602, 0.08021470159292221, -0.01757991500198841, -0.010273102670907974, 0.04673798009753227, 0.016866367310285568, -0.025020906701683998, -0.04424888640642166, -0.00887732207775116, 0.023601215332746506, -3.0594662803196115e-08, -0.030272185802459717, -0.03495646268129349, -0.08136581629514694, 0.080508291721344, 0.058777183294296265, -0.09211523830890656, -0.08109179139137268, 0.03670342639088631, 0.0455300435423851, 0.027111660689115524, 0.03212686628103256, 0.007212871685624123, 0.07034968584775925, 0.016006439924240112, 0.05755100026726723, 0.09007787704467773, -0.011170892044901848, -0.030797390267252922, -0.027031712234020233, 0.02163698524236679, -0.01876179873943329, 0.04761822894215584, -0.03566521033644676, -0.12039250880479813, 0.01892133429646492, 0.00557945528998971, -0.10386423021554947, -0.04628320038318634, -0.02203408069908619, 0.04399409890174866, 0.002936507808044553, 0.10519205778837204, 0.08208853006362915, 0.037432968616485596, -0.026793576776981354, 0.023309065029025078, 0.029327774420380592, 0.10298039019107819, -0.031257957220077515, -0.03842509537935257, -0.007120844442397356, -0.10098979622125626, 0.021892700344324112, 0.0018490839283913374, -0.001584174344316125, -0.03751660883426666, -0.03690028190612793, 0.09126637130975723, -0.032902926206588745, -0.008677676320075989, 0.028689635917544365, 0.03573612868785858, 0.033383019268512726, -0.00784484762698412, 0.034341804683208466, -0.0017709300154820085, -0.008747115731239319, 0.054662518203258514, -0.05902166664600372, 0.010260583832859993, -0.02595647983253002, 0.09417734295129776, 0.04509078338742256, -0.012313947081565857]","An expandable intravenous catheter for the infusion of fluids into a blood vessel comprises a helically wound tube having a diameter that can be varied from a normal minimum diameter to a relatively larger diameter by axial movement of the ends of the tube relative to each other, after insertion of the catheter into the blood vessel.",Unknown,General Tech
